Epoch: [1][680/938], lr: 0.00500	Time 0.631 (1.459)	Data 0.000 (0.827)	Loss 2.5278 (1.9231)	Prec@1 26.667 (45.384)	Prec@5 70.000 (81.307)
Epoch: [1][700/938], lr: 0.00500	Time 0.632 (1.458)	Data 0.000 (0.827)	Loss 1.4381 (1.9159)	Prec@1 60.000 (45.606)	Prec@5 90.000 (81.422)
Epoch: [1][720/938], lr: 0.00500	Time 0.625 (1.459)	Data 0.000 (0.826)	Loss 1.6664 (1.9075)	Prec@1 53.333 (45.788)	Prec@5 90.000 (81.567)
Epoch: [1][740/938], lr: 0.00500	Time 0.674 (1.454)	Data 0.000 (0.822)	Loss 1.7486 (1.8981)	Prec@1 50.000 (46.037)	Prec@5 90.000 (81.763)
Epoch: [1][760/938], lr: 0.00500	Time 0.631 (1.456)	Data 0.000 (0.823)	Loss 1.6334 (1.8883)	Prec@1 50.000 (46.316)	Prec@5 90.000 (81.927)
Epoch: [1][780/938], lr: 0.00500	Time 0.630 (1.455)	Data 0.000 (0.823)	Loss 1.3479 (1.8823)	Prec@1 60.000 (46.504)	Prec@5 90.000 (82.019)
Epoch: [1][800/938], lr: 0.00500	Time 0.702 (1.455)	Data 0.001 (0.822)	Loss 1.1520 (1.8747)	Prec@1 70.000 (46.683)	Prec@5 93.333 (82.131)
Epoch: [1][820/938], lr: 0.00500	Time 0.628 (1.457)	Data 0.000 (0.823)	Loss 1.7326 (1.8664)	Prec@1 53.333 (46.874)	Prec@5 76.667 (82.290)
Epoch: [1][840/938], lr: 0.00500	Time 0.633 (1.458)	Data 0.000 (0.824)	Loss 1.1236 (1.8579)	Prec@1 56.667 (47.095)	Prec@5 96.667 (82.445)
Epoch: [1][860/938], lr: 0.00500	Time 0.630 (1.455)	Data 0.000 (0.822)	Loss 1.4040 (1.8507)	Prec@1 50.000 (47.325)	Prec@5 83.333 (82.528)
Epoch: [1][880/938], lr: 0.00500	Time 0.609 (1.457)	Data 0.000 (0.823)	Loss 1.1139 (1.8426)	Prec@1 63.333 (47.518)	Prec@5 93.333 (82.679)
Epoch: [1][900/938], lr: 0.00500	Time 0.627 (1.457)	Data 0.000 (0.824)	Loss 1.8139 (1.8332)	Prec@1 43.333 (47.758)	Prec@5 86.667 (82.834)
Epoch: [1][920/938], lr: 0.00500	Time 1.730 (1.457)	Data 1.086 (0.823)	Loss 1.3642 (1.8244)	Prec@1 63.333 (47.959)	Prec@5 90.000 (82.990)
Epoch: [2][0/938], lr: 0.00500	Time 6.349 (6.349)	Data 5.708 (5.708)	Loss 1.4895 (1.4895)	Prec@1 53.333 (53.333)	Prec@5 86.667 (86.667)
Epoch: [2][20/938], lr: 0.00500	Time 3.310 (1.442)	Data 2.671 (0.809)	Loss 1.7988 (1.2983)	Prec@1 60.000 (62.540)	Prec@5 80.000 (90.159)
Epoch: [2][40/938], lr: 0.00500	Time 2.428 (1.353)	Data 1.788 (0.719)	Loss 1.4709 (1.3219)	Prec@1 53.333 (61.870)	Prec@5 90.000 (91.220)
Epoch: [2][60/938], lr: 0.00500	Time 2.676 (1.344)	Data 2.040 (0.711)	Loss 1.4586 (1.3485)	Prec@1 70.000 (60.929)	Prec@5 90.000 (90.765)
Epoch: [2][80/938], lr: 0.00500	Time 4.570 (1.348)	Data 3.931 (0.714)	Loss 1.8083 (1.3775)	Prec@1 56.667 (59.753)	Prec@5 86.667 (90.370)
Epoch: [2][100/938], lr: 0.00500	Time 2.959 (1.326)	Data 2.312 (0.687)	Loss 1.6778 (1.3772)	Prec@1 50.000 (59.505)	Prec@5 86.667 (90.429)
Epoch: [2][120/938], lr: 0.00500	Time 2.873 (1.330)	Data 2.231 (0.692)	Loss 1.2622 (1.3641)	Prec@1 60.000 (59.614)	Prec@5 93.333 (90.579)
