Epoch: [1][680/1201], lr: 0.00500	Time 7.272 (2.294)	Data 6.602 (1.628)	Loss 0.1160 (0.1418)	Prec@1 93.333 (95.805)	Prec@5 100.000 (99.559)
Epoch: [1][700/1201], lr: 0.00500	Time 7.460 (2.293)	Data 6.777 (1.627)	Loss 0.1673 (0.1418)	Prec@1 96.667 (95.806)	Prec@5 96.667 (99.558)
Epoch: [1][720/1201], lr: 0.00500	Time 5.896 (2.290)	Data 5.214 (1.624)	Loss 0.1278 (0.1417)	Prec@1 96.667 (95.825)	Prec@5 100.000 (99.552)
Epoch: [1][740/1201], lr: 0.00500	Time 5.338 (2.284)	Data 4.676 (1.618)	Loss 0.0657 (0.1413)	Prec@1 100.000 (95.852)	Prec@5 100.000 (99.555)
Epoch: [1][760/1201], lr: 0.00500	Time 6.432 (2.278)	Data 5.760 (1.612)	Loss 0.1716 (0.1397)	Prec@1 93.333 (95.891)	Prec@5 100.000 (99.566)
Epoch: [1][780/1201], lr: 0.00500	Time 6.096 (2.275)	Data 5.434 (1.610)	Loss 0.2551 (0.1394)	Prec@1 93.333 (95.915)	Prec@5 100.000 (99.565)
Epoch: [1][800/1201], lr: 0.00500	Time 7.862 (2.269)	Data 7.184 (1.603)	Loss 0.2545 (0.1390)	Prec@1 93.333 (95.918)	Prec@5 100.000 (99.571)
Epoch: [1][820/1201], lr: 0.00500	Time 6.734 (2.268)	Data 6.052 (1.603)	Loss 0.1479 (0.1393)	Prec@1 90.000 (95.887)	Prec@5 100.000 (99.574)
Epoch: [1][840/1201], lr: 0.00500	Time 6.115 (2.262)	Data 5.453 (1.596)	Loss 0.0997 (0.1388)	Prec@1 96.667 (95.890)	Prec@5 100.000 (99.580)
Epoch: [1][860/1201], lr: 0.00500	Time 6.437 (2.257)	Data 5.748 (1.592)	Loss 0.0561 (0.1391)	Prec@1 100.000 (95.881)	Prec@5 100.000 (99.582)
Epoch: [1][880/1201], lr: 0.00500	Time 7.445 (2.260)	Data 6.764 (1.594)	Loss 0.1864 (0.1397)	Prec@1 93.333 (95.846)	Prec@5 100.000 (99.584)
