Epoch: [1][500/1085], lr: 0.00500	Time 0.664 (2.056)	Data 0.000 (1.386)	Loss 0.2261 (0.1636)	Prec@1 93.333 (95.216)	Prec@5 100.000 (99.587)
Epoch: [1][520/1085], lr: 0.00500	Time 0.666 (2.060)	Data 0.000 (1.391)	Loss 0.1416 (0.1632)	Prec@1 93.333 (95.234)	Prec@5 100.000 (99.591)
Epoch: [1][540/1085], lr: 0.00500	Time 0.665 (2.058)	Data 0.000 (1.388)	Loss 0.0458 (0.1648)	Prec@1 100.000 (95.176)	Prec@5 100.000 (99.575)
Epoch: [1][560/1085], lr: 0.00500	Time 0.665 (2.058)	Data 0.000 (1.389)	Loss 0.2016 (0.1664)	Prec@1 93.333 (95.146)	Prec@5 100.000 (99.537)
Epoch: [1][580/1085], lr: 0.00500	Time 0.665 (2.058)	Data 0.000 (1.389)	Loss 0.1351 (0.1668)	Prec@1 96.667 (95.129)	Prec@5 100.000 (99.535)
Epoch: [1][600/1085], lr: 0.00500	Time 0.745 (2.057)	Data 0.069 (1.388)	Loss 0.0693 (0.1676)	Prec@1 100.000 (95.080)	Prec@5 100.000 (99.523)
Epoch: [1][620/1085], lr: 0.00500	Time 0.664 (2.059)	Data 0.000 (1.390)	Loss 0.1543 (0.1669)	Prec@1 96.667 (95.105)	Prec@5 100.000 (99.528)
Epoch: [1][640/1085], lr: 0.00500	Time 0.665 (2.060)	Data 0.000 (1.391)	Loss 0.1987 (0.1664)	Prec@1 96.667 (95.122)	Prec@5 100.000 (99.532)
Epoch: [1][660/1085], lr: 0.00500	Time 0.663 (2.057)	Data 0.000 (1.388)	Loss 0.1790 (0.1670)	Prec@1 96.667 (95.093)	Prec@5 100.000 (99.536)
Epoch: [1][680/1085], lr: 0.00500	Time 0.673 (2.057)	Data 0.000 (1.388)	Loss 0.0215 (0.1664)	Prec@1 100.000 (95.100)	Prec@5 100.000 (99.545)
Epoch: [1][700/1085], lr: 0.00500	Time 0.663 (2.059)	Data 0.000 (1.390)	Loss 0.3794 (0.1668)	Prec@1 90.000 (95.116)	Prec@5 96.667 (99.534)
Epoch: [1][720/1085], lr: 0.00500	Time 1.091 (2.059)	Data 0.427 (1.391)	Loss 0.1881 (0.1666)	Prec@1 96.667 (95.118)	Prec@5 96.667 (99.538)
Epoch: [1][740/1085], lr: 0.00500	Time 0.664 (2.063)	Data 0.000 (1.394)	Loss 0.1957 (0.1665)	Prec@1 96.667 (95.137)	Prec@5 96.667 (99.541)
Epoch: [1][760/1085], lr: 0.00500	Time 1.098 (2.061)	Data 0.431 (1.392)	Loss 0.2141 (0.1655)	Prec@1 93.333 (95.160)	Prec@5 100.000 (99.549)
Epoch: [1][780/1085], lr: 0.00500	Time 3.505 (2.062)	Data 2.837 (1.393)	Loss 0.2255 (0.1643)	Prec@1 90.000 (95.194)	Prec@5 100.000 (99.556)
Epoch: [1][800/1085], lr: 0.00500	Time 4.224 (2.061)	Data 3.556 (1.393)	Loss 0.1626 (0.1642)	Prec@1 90.000 (95.198)	Prec@5 100.000 (99.546)
Epoch: [1][820/1085], lr: 0.00500	Time 5.435 (2.061)	Data 4.762 (1.393)	Loss 0.0681 (0.1648)	Prec@1 96.667 (95.181)	Prec@5 100.000 (99.549)
Epoch: [1][840/1085], lr: 0.00500	Time 4.887 (2.060)	Data 4.201 (1.391)	Loss 0.1716 (0.1652)	Prec@1 93.333 (95.164)	Prec@5 100.000 (99.536)
Epoch: [1][860/1085], lr: 0.00500	Time 3.853 (2.059)	Data 3.182 (1.390)	Loss 0.1739 (0.1642)	Prec@1 93.333 (95.203)	Prec@5 100.000 (99.543)
