Epoch: [2][220/1134], lr: 0.00500	Time 3.245 (1.351)	Data 2.484 (0.580)	Loss 0.5158 (0.6107)	Prec@1 81.250 (81.688)	Prec@5 100.000 (97.992)
Epoch: [2][240/1134], lr: 0.00500	Time 3.266 (1.349)	Data 2.503 (0.578)	Loss 0.3668 (0.6139)	Prec@1 93.750 (81.561)	Prec@5 100.000 (97.912)
Epoch: [2][260/1134], lr: 0.00500	Time 3.033 (1.347)	Data 2.271 (0.576)	Loss 0.5247 (0.6070)	Prec@1 84.375 (81.705)	Prec@5 100.000 (97.917)
Epoch: [2][280/1134], lr: 0.00500	Time 2.891 (1.346)	Data 2.128 (0.575)	Loss 0.5137 (0.6055)	Prec@1 84.375 (81.673)	Prec@5 100.000 (97.931)
Epoch: [2][300/1134], lr: 0.00500	Time 2.843 (1.345)	Data 2.072 (0.573)	Loss 0.4908 (0.6063)	Prec@1 90.625 (81.748)	Prec@5 100.000 (97.934)
Epoch: [2][320/1134], lr: 0.00500	Time 3.524 (1.345)	Data 2.745 (0.573)	Loss 0.6338 (0.6096)	Prec@1 78.125 (81.600)	Prec@5 96.875 (97.917)
Epoch: [2][340/1134], lr: 0.00500	Time 2.961 (1.344)	Data 2.166 (0.573)	Loss 0.7232 (0.6143)	Prec@1 81.250 (81.479)	Prec@5 93.750 (97.819)
Epoch: [2][360/1134], lr: 0.00500	Time 3.000 (1.344)	Data 2.237 (0.573)	Loss 0.6165 (0.6161)	Prec@1 78.125 (81.501)	Prec@5 96.875 (97.810)
Epoch: [2][380/1134], lr: 0.00500	Time 3.093 (1.343)	Data 2.330 (0.572)	Loss 0.9148 (0.6157)	Prec@1 71.875 (81.562)	Prec@5 96.875 (97.777)
Epoch: [2][400/1134], lr: 0.00500	Time 3.006 (1.342)	Data 2.197 (0.572)	Loss 0.5722 (0.6175)	Prec@1 81.250 (81.515)	Prec@5 100.000 (97.763)
Epoch: [2][420/1134], lr: 0.00500	Time 2.803 (1.341)	Data 2.015 (0.570)	Loss 0.9013 (0.6132)	Prec@1 68.750 (81.599)	Prec@5 96.875 (97.795)
Epoch: [2][440/1134], lr: 0.00500	Time 2.832 (1.340)	Data 2.068 (0.569)	Loss 0.6931 (0.6103)	Prec@1 81.250 (81.732)	Prec@5 93.750 (97.803)
Epoch: [2][460/1134], lr: 0.00500	Time 2.879 (1.338)	Data 2.117 (0.568)	Loss 0.5337 (0.6093)	Prec@1 78.125 (81.697)	Prec@5 100.000 (97.797)
Epoch: [2][480/1134], lr: 0.00500	Time 3.583 (1.338)	Data 2.808 (0.568)	Loss 0.4780 (0.6100)	Prec@1 84.375 (81.679)	Prec@5 100.000 (97.772)
Epoch: [2][500/1134], lr: 0.00500	Time 2.869 (1.337)	Data 2.105 (0.567)	Loss 0.4459 (0.6089)	Prec@1 87.500 (81.662)	Prec@5 96.875 (97.761)
Epoch: [2][520/1134], lr: 0.00500	Time 3.005 (1.336)	Data 2.241 (0.566)	Loss 0.4570 (0.6082)	Prec@1 87.500 (81.736)	Prec@5 100.000 (97.763)
Epoch: [2][540/1134], lr: 0.00500	Time 3.054 (1.337)	Data 2.292 (0.566)	Loss 0.5266 (0.6087)	Prec@1 87.500 (81.724)	Prec@5 96.875 (97.782)
Epoch: [2][560/1134], lr: 0.00500	Time 2.996 (1.336)	Data 2.233 (0.565)	Loss 0.4143 (0.6078)	Prec@1 93.750 (81.723)	Prec@5 100.000 (97.811)
Epoch: [2][580/1134], lr: 0.00500	Time 2.816 (1.335)	Data 2.044 (0.565)	Loss 0.4158 (0.6073)	Prec@1 90.625 (81.734)	Prec@5 100.000 (97.806)
Epoch: [2][600/1134], lr: 0.00500	Time 2.468 (1.336)	Data 1.705 (0.565)	Loss 0.3729 (0.6085)	Prec@1 84.375 (81.760)	Prec@5 100.000 (97.816)
